date,year,season,location,sampleID,sampling,microhabitat,sample_num,lat,long,alt,depth_cm,DO_mg.L,light_umol.m2.s,flow_rate_m.s,pH,water_temp_C,turbidity_NTU,conductivity_uS.cm
5/29/2018,2018,Summer,Downstream,01DRSU18,macros,,,,,,,8.32,,,7.61,17.4,,
5/31/2018,2018,Summer,Upstream,01URSU18,macros,,,,,,,8.55,,,7.48,17.3,,
6/5/2018,2018,Summer,Downstream,02DRSU18,macros,,,,,,,8.84,,,7.51,14.1,,
6/6/2018,2018,Summer,Upstream,02URSU18,macros,,,,,,,9.06,,,7.53,14.4,,
6/7/2018,2018,Summer,Downstream,03DRSU18,macros,,,,,,,8.82,,,7.4,15.2,,
6/8/2018,2018,Summer,Upstream,03URSU18,macros,,,,,,,9.11,,,7.48,14.9,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,DSR,1,,,,,8.62,62,0.0000,7.66,19,4.6,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,USR,1,,,,,9.18,106,0.0010,7.83,18.3,5.6,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,DSR,2,,,,,8.51,33,0.0000,7.63,19.1,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,DM,1,,,,,8.48,43,0.0690,7.65,19.9,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,DFR,3,,,,,8.48,28,0.0190,7.66,19.8,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,DSH,1,,,,,8.46,14,0.2580,7.66,20.1,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,DSH,2,,,,,8.46,8,0.3670,7.66,20.1,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,DFR,1,,,,,8.56,43,0.0280,7.67,19.6,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,DFR,2,,,,,8.49,34,0.0640,7.67,19.8,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,DSH,3,,,,,8.46,12,0.2280,7.67,20.1,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,DSR,3,,,,,8.65,34,0.0050,7.68,19.3,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,DM,3,,,,,8.48,28,0.0490,7.68,20,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,DM,2,,,,,8.43,34,0.1540,7.69,19.9,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,DSP,2,,,,,8.46,302,0.5640,7.69,20.2,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,DSP,1,,,,,8.45,915,0.1570,7.7,20.2,,
6/11/2018,2018,Summer,Downstream,waterQ_SU18DR,water,DSP,3,,,,,8.51,96,0.3400,7.73,20.3,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,USR,2,,,,,9.18,108,0.0000,7.9,18.4,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,USH,1,,,,,8.83,94,0.0030,7.91,18.7,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,UFR,3,,,,,9,199,0.0030,7.93,18.7,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,USH,2,,,,,8.81,60,0.0190,7.93,18.8,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,USU,3,,,,,8.84,938,0.1480,7.93,18.9,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,USR,3,,,,,9.17,101,0.0000,7.94,18.5,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,UFR,1,,,,,9.02,31,0.0010,7.94,18.6,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,UFR,2,,,,,9.05,85,0.0020,7.94,18.8,,
6/11/2018,2018,Summer,Upstream,waterQ_SU18UR,water,USU,1,,,,,8.83,364,0.0280,7.94,18.8,,
